date,invoice_id,branch,city,customer_type,gender,product_line,unit_price
2019-01-01,770-42-8960,B,Mandalay,Normal,Male,Food and beverages,21.12
2019-01-01,651-88-7328,A,Yangon,Normal,Female,Fashion accessories,65.74
2019-01-01,530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59
2019-01-01,182-52-7000,A,Yangon,Member,Female,Sports and travel,27.04
2019-01-01,133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,62.87
2019-01-01,416-17-9926,A,Yangon,Member,Female,Electronic accessories,74.22
2019-01-01,556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,63.22
2019-01-01,746-04-1077,B,Mandalay,Member,Female,Food and beverages,84.63
2019-01-01,493-65-6248,C,Naypyitaw,Member,Female,Sports and travel,36.98
2019-01-01,765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61
2019-01-01,271-77-8740,C,Naypyitaw,Member,Female,Sports and travel,29.22
2019-01-01,891-01-7034,B,Mandalay,Normal,Female,Electronic accessories,74.71
2019-01-02,744-09-5786,B,Mandalay,Normal,Male,Electronic accessories,22.01
2019-01-02,198-84-7132,B,Mandalay,Member,Male,Fashion accessories,40.61
2019-01-02,244-08-0162,B,Mandalay,Normal,Female,Health and beauty,34.21
2019-01-02,446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82
2019-01-02,504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47
2019-01-02,712-39-0363,A,Yangon,Member,Male,Food and beverages,41.66
2019-01-02,670-71-7306,B,Mandalay,Normal,Male,Sports and travel,44.63
2019-01-02,345-68-9016,C,Naypyitaw,Member,Female,Sports and travel,31.67
2019-01-03,749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03
2019-01-03,422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,67.09
2019-01-03,249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01
2019-01-03,501-61-1753,B,Mandalay,Normal,Female,Home and lifestyle,63.15
2019-01-03,343-87-0864,C,Naypyitaw,Member,Male,Health and beauty,75.88
2019-01-03,875-31-8302,B,Mandalay,Normal,Male,Sports and travel,93.38
2019-01-03,687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12
2019-01-03,552-44-5977,B,Mandalay,Member,Male,Health and beauty,62.0
